Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
"Data Science, Analytics and Engineering (Sustainable Engineering and Built Environment)",Arizona State University,,"Dive into the intersection of data science, analytics, and sustainable engineering with Arizona State University's Data Science, Analytics and Engineering (Sustainable Engineering and Built Environment) MS program.",,"Tempe, Arizona, United States",M.Sc. / Full-time / On Campus
Social Data Analytics and Research,University of Texas at Dallas,"20,710 EUR / year","Graduates in the Social Data Analytics and Research program from University of Texas at Dallas seek varied positions, including: data analyst/scientist, data mining specialist, database manager, statistician, program evaluation analyst, decision support analyst, research analyst, opinion polling statistician, community intelligence expert and information resource analyst.",1 year,"Richardson, Texas, United States",M.Sc. / Full-time / On Campus
Data-Enabled Computational Engineering and Science,Brown University,"8,426 EUR / module","The School of Engineering at Brown University is a world leader in several disciplines relevant to the DECES Master’s of Science  program, including solid mechanics, materials science, fluid and thermal systems. ",1 year,"Providence, Rhode Island, United States",M.Sc. / Full-time / On Campus
Data Analytics,Rockhurst University,"10,726 EUR / year","Offered on-campus and online through Rockhurst Universitys Helzberg School of Management, this Data Analytics program will provide you with the skills and experience you need to tap into valuable jobs in the growing field of data science.",2 years,"Kansas City, Missouri, United States","M.Sc. / Part-time / Online, On Campus"
Graduate Pathway in Data Science,The University of Alabama at Birmingham,"29,211 EUR / year",The Graduate Pathway in Data Science will prepare you to enter your next semester of a master's degree program at The University of Alabama at Birmingham. ,1 year,"Birmingham, Alabama, United States",Pre-Master / Full-time / On Campus
Dual Degree in Data Science and Geographic Information Systems,George Washington University,"32,385 EUR / year",The Dual Degree in Data Science and Geographic Information Systems at George Washington University offers a dual master of science in data science and graduate certificate in geographical information systems (GIS).,2 years,"Washington, D. C., Washington, D.C., United States",M.Sc. / Full-time / On Campus
Business Administration - Data Science,Henderson State University,"9,134 EUR / year","In the Business Administration - Data Science program at Henderson State University, you will develop your ability to apply best practices using analytical methods and technology to identify and solve business problems.","1 year, 2 months",Online,M.B.A. / Part-time / Online
Data Analytics,Butler University,"26,296 EUR / year", Master of Science in Data Analytics program offered by Butler University  empowers students with the analytical skills required to create and deploy data-based actionable insights which improve decision-making in their organization.,1 year,Online,Master / Part-time / Online
Nutrition Epidemiology and Data Science,Tufts University,"48,273 EUR / year","The Nutritional Epidemiology and Data Science program at Tufts University is designed to train students in the design, implementation, and analysis of epidemiologic studies that address questions of the role of dietary intake and nutritional status in disease prevention.",2 years,"Medford, Massachusetts, United States",M.Sc. / Full-time / On Campus
Data Science,Weber State University,"9,679 EUR / year","Data Science is a growing and competitive field. A degree in computer science prepares you to work with some of the top companies in the industry, locally and worldwide. The Computer Science program of Weber State University is a good fit if you are interested in computer programming and working in the technology sector.",1 year,"Ogden, Utah, United States",M.A. / Full-time / On Campus
Computer Science: Data Science,The University of Tennessee at Chattanooga,"23,011 EUR / year","The Computer Science: Data Science program at The University of Tennessee at Chattanooga requires a student to complete a minimum of 33 semester hours of graduate work including a thesis, or 36 semester hours of graduate work including a project. ",1 year,"Chattanooga, Tennessee, United States",M.Sc. / Full-time / On Campus
Statistics and Data Science,Yale University,"44,564 EUR / year","The Statistics and Data Science Department at Yale University degree may be awarded upon completion of eight term courses in Statistics with an average grade of HP or higher, and two terms of residence.",3 years,"New Haven, Connecticut, United States",M.A. / Full-time / On Campus
Applied Statistics - Data Science,Colorado State University,"29,578 EUR / year",The Applied Statistics - Data Science course at Colorado State University consistently ranks in the top 50 statistics departments in the US. Colorado State University is accredited by the Higher Learning Commission and a member of the North Central Association of Colleges and Schools.,1 year,"Fort Collins, Colorado, United States","Master / Full-time, Part-time / Online, On Campus"
Data Analytics,Kansas State University,"14,864 EUR / year","In the Data Analytics program from Kansas State University you will learn the skills needed to effectively collect, analyze and apply large data sets to help guide decision-making on issues commonly faced in business and industry.",1 year,Online,M.Sc. / Part-time / Online
"Data Science, Online",University of Virginia,"23,433 EUR / year","The integrated Data Science, Online from University of Virginia curriculum combines hands-on learning with the application of sound data science principles, empowering you to solve real world problems and be a leader in the field. ","1 year, 8 months",Online,Master / Part-time / Online
International Year One in Science - Computational and Data Sciences,George Mason University,"23,302 EUR / full",The International Year One in Science - Computational and Data Sciences programme will prepare you to enter your next semester of a bachelor’s degree program at George Mason University. ,½ year,"Arlington, Virginia, United States",Pre-Master / Full-time / On Campus
Data Analytics,Northern Illinois University,"25,050 EUR / year",Our fully online Master of Science in Data Analytics at Northern Illinois University is an intensive program that will prepare you for the fastest growing occupations in data science. This program features coursework based on the latest trends and best practices in the field. ,1 year,Online,M.Sc. / Part-time / Online
Health Data Science,Duke University,"28,888 EUR / year",The MS focus in Health Data Science at Duke University stresses the courses that are critical core/foundations for students to develop skills and experience in the basic statistical methodologies as well as computer programming relevant as they move into such areas. ,2 years,"Durham, North Carolina, United States",M.Sc. / Full-time / On Campus
Dual Degree in Public Policy and Data Science,George Washington University,"47,738 EUR / year",The Dual Degree in Public Policy and Data Science at George Washington University offers a dual master of public policy (MPP) and graduate certificate in data science program.,2 years,"Washington, D. C., Washington, D.C., United States",Master / Full-time / On Campus
Data Analytics,Binghamton University,"21,950 EUR / year","Binghamton University’s new Master of Science in Data Analytics degree program prepares students from diverse backgrounds with the analytical, quantitative, technical and leadership skills needed for successful careers in data analysis across all sectors of the economy.",10 months,"Binghamton, New York, United States",M.Sc. / Full-time / On Campus
Computing and Data Science,Sam Houston State University,"16,652 EUR / year","The Computing and Data Science program at at Sam Houston State University utilizes state-of-the-art software, software development methodologies, project management techniques, data science, and systems. Emphasis is placed on preparing students for an environment where change is the norm.",1 year,"Huntsville, Texas, United States",M.Sc. / Full-time / On Campus
Economic Crime Forensics- Data Science (Online),La Salle University,"13,009 EUR / year",Economic Crime Forensics- Data Science (Online)  is offered by La Salle University. The growth of big data and its universal value across all business functions has led to a proliferation of hard-to-detect economic crime in many organizations.,2 years,Online,M.Sc. / Part-time / Online
Computing and Information Sciences - Data Science,University of North Florida,"25,825 EUR / year","The Computing and Information Sciences - Data Science program at University of North Florida requires a total of 30 graduate credit hours, of which 24 credit hours must be earned through coursework.",1 year,"Jacksonville Beach, Florida, United States",M.Sc. / Full-time / On Campus
Biostatistics and Data Science,Weill Cornell Medical College,"25,147 EUR / year","The Department of Healthcare Policy & Research offers a range of educational programs to train the next generation of leading researchers and practitioners in the study of the most effective ways to organize, coordinate, manage, finance and deliver high quality care.  The Biostatistics and Data Science program is offered at Weill Cornell Medical College.",2 years,"New York City, New York, United States",Master / Full-time / On Campus
Data Analytics,Slippery Rock University,"17,294 EUR / full",At Slippery Rock University Master of Science in Data Analytics is 33 credits with an accelerated 8-week class format. ,10 months,Online,"M.Sc. / Full-time, Part-time / Online"
Data Science and Artificial Intelligence,San Francisco State University,"8,047 EUR / year","The Master of Science in Data Science and Artificial Intelligence (DS&AI) program prepares students for high-demand industry positions in DS&AI and for doctoral programs that require a solid knowledge base in computer science, statistics, machine learning, and artificial intelligence. ",1 year,"San Francisco, California, United States",Master / Full-time / On Campus
Data Analytics,University of Houston Downtown,"8,542 EUR / year","The Master of Science in Data Analytics (MSDA) at the University of Houston Downtown is a theory and application-based program that will provide students with a broad education in advanced statistics, digital data acquisition, digital data management, data analysis, and data presentation. ",1 year,"Houston, Texas, United States",M.Sc. / Full-time / On Campus
Data Scientist,Udacity,218 EUR / module,"Get hands-on experience running data pipelines, designing experiments, building recommendation systems, and more. The Data Scientist program at Udacity is a specialized data science program that equips learners with the skills to run data pipelines, design experiments, and develop recommendation systems.",4 months,Online,Pre-Master / Part-time / Online
Applied Data Science,East Tennessee State University,"23,900 EUR / year","Applied Data Science from East Tennessee State University is designed to train professionals to manage, manipulate and analyze potentially complex datasets and communicate these findings to managers and other personnel.",1½ year,"Johnson City, Tennessee, United States","M.Sc. / Full-time / Online, On Campus"
Data Science,Tarleton State University,"13,682 EUR / year","The Data Science program at Tarleton State University is designed to enhance and enrich the mathematical skills of students who desire to teach at the secondary-level or collegiate level, as well as provide an intellectually challenging study of mathematics for those who aim for a career in any mathematical area or government agency.",1½ year,"Stephenville, Texas, United States",M.Sc. / Full-time / On Campus
Data Analytics,Northwest Missouri State University,"9,688 EUR / year","Feed your passion for data science and applied technology with this Data Analytics programme, offered by Northwest Missouri State University, by learning industry-leading methods to identify, collect, analyze and transform data that create insights to help businesses and other organizations make informed decisions.",1 year,Online,M.Sc. / Part-time / Online
Graduate Pathway in Health Data Science,Saint Louis University,"20,169 EUR / full",An INTO SLU Graduate Pathway in Health Data Science will prepare you to enter your next semester of a master’s degree program at Saint Louis University.  ,½ year,"Saint Louis, Missouri, United States",Pre-Master / Full-time / On Campus
Big Data Analytics,San Diego State University,"8,972 EUR / year","The San Diego State University's Big Data Analytics Program is a transdisciplinary program across technology, business, engineering, science, and social science domains leading to a Master of Science Degree in Big Data Analytics at San Diego State University.",2 years,"San Diego, California, United States",M.Sc. / Full-time / On Campus
Data Analytics,North Carolina Agricultural & Technical State University,"16,189 EUR / year",North Carolina Agricultural & Technical State University offers a Master of Science degree in Data Analytics. A graduate degree from North Carolina A&T will give you the tools you need to accomplish more and go further in your chosen field. ,1 year,"Greensboro, North Carolina, United States",M.Sc. / Full-time / On Campus
Data Analytics Engineering - Experiential,Northeastern University,"54,836 EUR / year","The Data Analytics Engineering - Experiential program at Northeastern University is an accelerated, hands-on advanced degree for engineering, mathematics, science, or statistics students who want to be data analytics engineers or business problem solvers.",1 year,"Boston, Massachusetts, United States",M.Sc. / Full-time / On Campus
Human Genetics and Genomic Data Analytics,Keck Graduate Institute,"40,504 EUR / year","The  two-year Master of Science in Human Genetics and Genomic Data Analytics at Keck Graduate Institute prepares graduates to translate sequenced patient data into actionable clinical recommendations and bridge the gap between research scientists and clinical practitioners through a foundation in genetics, genomics, and data analytics.",2 years,"Claremont, California, United States",M.Sc. / Full-time / On Campus
Data Analytics,Oregon State University,"11,625 EUR / year","Whether you're an experienced analytics professional or looking to change careers and become one, you can chart your path forward by earning a Master of Science degree or a Graduate Certificate in Data Analytics online from Oregon State University.",2 years,Online,M.Sc. / Part-time / Online
Data Analytics,Kansas State University,"7,432 EUR / full","The Data Analytics Graduate Certificate online program from Kansas State University will help youdevelop the skills necessary to mine, manage and interpret “big data” with the online data analytics certificate.",,Online,Postgraduate Certificate / Part-time / Online
Data Analytics and Digital Technologies,Loyola University Maryland,"19,431 EUR / year","The Loyola University Maryland MBA specialization in Data Analytics and Digital Technologies is designed to give students the skills and knowledge to understand, manage, and apply analytics to business problems and influence strategic decisions.",2 years,"Maryland City, Maryland, United States","M.B.A. / Part-time / Online, Blended"
Applied Biostatistics and Public Health Data Science,Columbia University,"62,615 EUR / year",The Applied Biostatistics and Public Health Data Science program at Columbia University seeks to address this shortage by offering specialized interdisciplinary training in biostatistics to MPH students from other disciplines.,1 year,"Manhattan, New York, United States",Master / Full-time / On Campus
Data Journalism,Columbia University,"62,615 EUR / year","Journalism in the 21st century involves finding, collecting and analyzing data for storytelling, presentation and investigative reporting. Columbia University's journalism school offers a Master of Science in Data Journalism for students interested in advanced skills.",1 year,"Manhattan, New York, United States",M.Sc. / Full-time / On Campus
Data Intelligence,University of South Florida,"21,369 EUR / year","Data Intelligence is offered by University of South Florida. The Master of Science in Data Intelligence provides engineers, scientists and professionals with the data synthesis, modeling and computational skills necessary to extract intelligence and knowledge from data and utilize them in business decision making. ",1 year,"Tampa, Florida, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Analytics,Walsh College,"25,576 EUR / year","The Data Analytics Master is offered by Walsh College. The best data analysts need to be able to read numbers like a book. After all, numbers tell the story of where a company has been and where it is today, so they can inform the decisions of tomorrow. This is why organizations are turning to Walsh College Master of Science in Data Analytics graduates. They know great careers in data begin here.",1 year,"Troy, Michigan, United States","M.Sc. / Full-time / Online, On Campus, Blended"
Data Analytics,Carnegie Mellon University,"49,925 EUR / year","Heinz College’s analytics coursework is unrivaled among policy schools, and the MSPPM: Data Analytics pathway from Carnegie Mellon University is our most quantitatively rigorous public policy program.",2 years,"Pittsburgh, Pennsylvania, United States",Master / Full-time / On Campus
Data Analytics,Johnson & Wales University,"13,984 EUR / year","This master's level program in Data Analytics from Johnson & Wales University covers the fundamentals involved in pursuing (or advancing) a career in data and business analytics. You’ll investigate statistical analysis, data mining, data visualization, forecasting, predictive modeling and more.",2 years,Online,M.Sc. / Part-time / Online
Data Analytics,Pennsylvania State University,"23,384 EUR / year","Cultivate the knowledge and practical skills required to collect, classify, analyze, and model data at large and ultra-large scales and across domains using statistics, computer science, machine learning, and software engineering with this online Data Analytics master's degree program at
Pennsylvania State University. ",1 year,Online,Master / Part-time / Online
Data Analytics,Catholic University of America,"48,716 EUR / year",The Catholic University of America is partnering with industry leaders to offer education in Data Analytics.,1 year,"Washington, D. C., Washington, D.C., United States","M.Sc. / Full-time, Part-time / Online, On Campus"
MBA - Data Analytics,Florida Gulf Coast University,"11,369 EUR / year","In this MBA - Data Analytics at Florida Gulf Coast University  program, you will broaden your fundamental knowledge of organizational development, human resource management, global organization issues and more. ",1 year,"Fort Myers Beach, Florida, United States",M.B.A. / Full-time / On Campus
Big Data Analytics,Florida Atlantic University,"17,951 EUR / year","To provide students with the knowledge necessary in this age of Big Data, the Department of Computer and Electrical Engineering and Computer Science (CEECS) and the Department of Information Technology and Operations Management (ITOM) have jointly designed the Big Data Analytics graduate certificate from the Florida Atlantic University.",1 year,"Boca Raton, Florida, United States","Postgraduate Certificate / Full-time, Part-time / Online, On Campus, Blended"
Big Data MicroMasters Program,edX - online learning platform,909 EUR / year,EdX is an online learning platform trusted by over 12 million users offering the Big Data MicroMasters Program in collaboration with University of Adelaide - AdelaideX. Transform big data into business insights and solutions.,1 year,Online,Pre-Master / Part-time / Online
Data Analytics,"University of Nevada, Las Vegas","23,928 EUR / year","The M.S. in Data Analytics from University of Nevada, Las Vegas equips students with technical skills that are used by professional data scientists for data analysis, visualization, predictions, and discoveries. ",1 year,"Las Vegas, Nevada, United States",M.Sc. / Full-time / On Campus
Advanced Data Analytics Management,University of North Texas,"29,091 EUR / year",The Master of Science in Advanced Data Analytics Management from University of North Texas provides the breadth and depth of experiences you need to succeed in a data-driven business world. ,1 year,"Denton, Texas, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Analytics,University of Miami,"40,207 EUR / year","The University of Miami Online offers a Data Analytics MS program, a gateway to expertise in the field of data analysis.","1 year, 8 months",Online,M.Sc. / Part-time / Online
Information Technology with Data Science,Champlain College,"12,077 EUR / year","Take your technical expertise to the next level with
the Champlain College's Information Technology with Data Science, M.Sc. program designed for professionals with technical backgrounds
in various fields of study including computer and information systems, software
development, web design and development, and more.",1½ year,Online,M.Sc. / Part-time / Online
Translational Data Analytics,The Ohio State University,"17,586 EUR / year",Become an expert in data storytelling with the fully online Master of Translational Data Analytics from the Translational Data Analytics Institute at The Ohio State University.,1 year,Online,Master / Part-time / Online
Applied Data Analytics,University of Detroit Mercy,"50,404 EUR / year","In today's market, data-driven decisions are essential for an organization's success. Detroit Mercy University Applied Data Analytics program combine academic instruction and experiential learning so that successful graduates learn the skills and knowledge for high-paying careers including data specialists, data analysts, business analysts and database specialists.",1 year,"Highland Park, Michigan, United States","M.Sc. / Full-time / Online, On Campus"
Applied Data Analytics,Boston University,"58,863 EUR / year",The Master of Science in Applied Data Analytics program at Boston University provides students with solid knowledge of the foundations of data analytics and emphasizes the presentation and discussion of the latest industry tools and approaches within an academically rigorous framework.,8 months,"Boston, Massachusetts, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Cybersecurity Data Analytics,Western Kentucky University,"19,569 EUR / year","This program is the study of Cybersecurity Data Analytics by Western Kentucky University defenses using data analytics to support the principles of data confidentiality, integrity, and availability. ",1 year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Analytics,Clark University,"28,648 EUR / year","At Clark University, our Master’s of Science in Data Analytics will prepare you for a career in a technology-driven business environment — you’ll delve deep into Python programming, advanced statistical analysis, and data mining and warehousing. ",1 year,"Worcester, Massachusetts, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Analytics,Long Island University (LIU),"37,423 EUR / year","This School of Business MSc program from Long Island University (LIU) Brooklyn offers a new, specialized Master of Science in Data Analytics program (MDA) with a blend of data science, IT, and business courses to prepare students for the demand in industries for data-literate managers and data scientists with solid business knowledge and analytical skills.",1 year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Data Analytics,University of Maryland Global Campus,"23,052 EUR / year",The state-of-the-art graduate Data Analytics program at University of Maryland Global Campus is designed with input from leading employers to give you a competitive advantage in the job market. The Master of Science combines study in technical and business disciplines to make you a powerful data analyst with strong career potential. ,1 year,Online,M.Sc. / Part-time / Online
Data Analytics,"Concordia University, St. Paul","20,760 EUR / year","The Concordia University St. Paul offers a degree in Data Analytics. Our expert faculty are prepared to help you analyze testing techniques, use open-source R and Python to program data analytics capabilities, identify numerical optimization in linear programming, and give you all the practice you need with tools like Hadoop, Spark, and Splunk.",1 year,"Saint Paul, Minnesota, United States",M.Sc. / Full-time / On Campus
Sports Data Analytics,University of Oklahoma,"32,983 EUR / year","The University of Oklahoma offers the Sports Data Analytics MS program, providing students with a comprehensive education in the application of data analysis and statistics in the field of sports.",1 year,"Norman, Oklahoma, United States",M.Sc. / Full-time / On Campus
Data Analytics Online,Southern New Hampshire University,"16,660 EUR / year","Southern New Hampshire University’s Master of Science (MS) in Data Analytics Online takes a deep dive into the study of analyzing data, allowing you to hone one of the most coveted skill sets in today’s workforce. You’ll learn how to use advanced statistical techniques and tools in data and information management to collect and analyze large data sets.","1 year, 3 months",Online,M.Sc. / Part-time / Online
Data Analytics,Drew University,"22,437 EUR / year","The digitization of information—social networks, business transactions, healthcare records and more—has transformed the world, necessitating a demand for people who understand all of the big data being collected and who can take action to help individuals and organizations become smarter, faster and ultimately more effective. We offer a master degree in Data Analytics at Drew University. ",1 year,"Madison, New Jersey, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Analytics,Drew University,"22,437 EUR / year","The digitization of information—social networks, business transactions, healthcare records and more—has transformed the world, necessitating a demand for people who understand all of the big data being collected and who can take action to help individuals and organizations become smarter, faster and ultimately more effective. We offer a master degree in Data Analytics at Drew University. ",1 year,"Madison, New Jersey, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Analytics,Webster University,"12,124 EUR / year",The Data Analytics programme is offered by Webster University focuses on developing and applying data analytics skills to fulfill significant needs in the business community.,2 years,"Webster Groves, Missouri, United States",M.Sc. / Full-time / On Campus
Data Engineering,University of North Texas,"29,091 EUR / year","The Master of Science program in Data Engineering at University of North Texas allows students from STEM disciplines to focus their analytical, programming and engineering skills to integrate messy data into clean, usable datasets; organize, retrieve large data efficiently, and creatively solve data-related analytical problems.",1 year,"Denton, Texas, United States",M.Sc. / Full-time / On Campus
Data Analytics,Canisius College,"33,584 EUR / year","As part of this Data Analytics  at Canisius College program, you’ll participate in an internship or supervised project with a local business or nonprofit — gaining hands-on experience carrying out a comprehensive data analytics process. ",1 year,"Buffalo, New York, United States","Master / Full-time, Part-time / Online, On Campus"
Decision Analysis (Business Leadership and Data Science),Minerva University,"21,867 EUR / year","The Master of Science in Decision Analysis (MDA) is a unique program designed for rising professionals in diverse fields around the world based on data science for decision making, and business intelligence. Become an adaptive leader who can deconstruct problems, interpret complex data, utilize big data and devise effective solutions, in order to drive meaningful improvements in any sector.","1 year, 9 months",Online,M.Sc. / Part-time / Online
Data Analytics,University of Central Florida,"33,492 EUR / year",The Data Analytics program of University of Central Florida provides students with the ability to develop algorithms and computer programs for discovery of information from large amounts of data.,1 year,"Orlando, Florida, United States",M.Sc. / Full-time / On Campus
Big Data Analytics and Information Technology,University of Central Missouri,"19,708 EUR / year",The Master of Science in Big Data Analytics and Information Technology degree at the University of Central Missouri is a unique STEM classified program focused on technological innovations and challenges in the 21st century. ,1 year,"Lees Summit, Missouri, United States",M.Sc. / Full-time / On Campus
Social Policy and Data Analytics,University of Pennsylvania,"61,947 EUR / year","The Social Policy and Data Analytics program at the University of Pennsylvania is a 12-course, three-to-four-semester offering.",1½ year,"Philadelphia, Pennsylvania, United States",Master / Full-time / On Campus
Advanced Data Analytics,University of North Texas,"6,136 EUR / year",University of North Texas’s 30-hour accelerated Master of Science in Advanced Data Analytics provides the breadth and depth of experiences to enable you to succeed in a data-driven business world. You can choose an existing specialization or work with the advisor to develop one that fits your needs.,2 years,"Denton, Texas, United States","M.Sc. / Part-time / Online, Blended"
Data Analytics,San José State University,"8,697 EUR / year",The Data Analytics MSc program offered at San José State University is developed in partnership with industry experts targeting students from diverse academic and professional backgrounds. ,1 year,"San Jose, California, United States",M.Sc. / Full-time / On Campus
Spatial Economics and Data Analysis,University of Southern California,"35,784 EUR / year","As one of University of Southern California most innovative Masters Programs, students will engage with a rigorous quantitative curriculum in order to learn how to apply economic theory to real-world problems. This Spatial Economics and Data Analysis MSc program will lead to students being able to synthesize data and abstract theories into real-world action.",2 years,"Los Angeles, California, United States",M.Sc. / Full-time / On Campus
Data Analytics,University of the Potomac,"10,518 EUR / year","The Data Analytics degree at University of the Potomac-VA Campus prepares individuals to use a variety of statistical and quantitative methods, computational tools, and predictive models to help businesses, nonprofits, and government agencies in forecasting, risk assessment, making critical decisions, and ultimately, enabling them to be more successful in a wide range of data-rich environments.",1 year,"Vienna, Virginia, United States","M.Sc. / Full-time / Online, On Campus"
Applied Data Intelligence and Machine Learning,Mercer University,"12,972 EUR / year","Mercer University's Applied Data Intelligence and Machine Learning program is a graduate program designed to equip students with the skills necessary to navigate, analyze, and draw insights from complex datasets using machine learning algorithms.",1½ year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Analytics,Utah State University,"15,244 EUR / year","The Data Analytics program of the Utah State University trains the next generation of statisticians, business analysts, and computer scientists to meet the increased demand for analytic professionals.",1 year,"Logan, Ohio, United States",Master / Full-time / On Campus
Survey Research and Data Analysis,University of Connecticut,"25,067 EUR / year",Sharpen your skills as a researcher and gain experience necessary for a career in the rapidly-growing field of data analysis. Learn more with Survey Research and Data Analysis from University of Connecticut.,2½ years,"Storrs, Connecticut, United States",M.A. / Full-time / On Campus
Survey Research and Data Analysis,University of Connecticut,"25,067 EUR / year",Sharpen your skills as a researcher and gain experience necessary for a career in the rapidly-growing field of data analysis. Learn more with Survey Research and Data Analysis from University of Connecticut.,2½ years,"Storrs, Connecticut, United States",M.A. / Full-time / On Campus
Data Marketing Communications,West Virginia University,"20,760 EUR / year",The Master of Science in Data Marketing Communications (DMC) program from West Virginia University offered by the WVU Reed College of Media is exclusively online. ,1 year,Online,M.Sc. / Part-time / Online
Accounting with Emphasis in Data and Analytics,University of Southern California,"66,893 EUR / year","The Accounting with Emphasis in Data and Analytics MAcc program offered at University of Southern California delivers a firm foundation in accounting, audit and financial reporting with a focus on Data and Analytics and the enabling of IT capabilities.  ",1 year,"Los Angeles, California, United States",Master / Full-time / On Campus
Data Visualization,The New School,"53,837 EUR / year","The Data Visualization graduate program from Parsons School of Design in New York City is a multidisciplinary degree that brings together visual design, computer science, statistical analysis, and ethical considerations of data representation. ",1 year,"New York City, New York, United States","M.Sc. / Full-time, Part-time / On Campus"
Accounting with Data and Analytics,Indiana University - Purdue University Indianapolis,"38,924 EUR / year","The Master of Science in Accounting with Data and Analytics from Indiana University - Purdue University Indianapolis is an intensive, one-year program in which you will work in student teams, tackling collaborative learning exercises, case analyses, presentations, and consulting projects.",1 year,"Indianapolis, Indiana, United States",M.Sc. / Full-time / On Campus
Economics with Data Analytics,University of Texas El Paso,"23,529 EUR / year","University of Texas El Paso's Master of Science in Economics with Data Analytics provides students with a theoretical foundation in economic concepts, as well as hands-on experience with large datasets and statistical software packages, including STATA, R, and Python, used in the public and private sectors. ",1 year,"El Paso, Texas, United States",M.Sc. / Full-time / On Campus
Data Analytics,Tufts University,"46,972 EUR / year","The interdisciplinary Data Analytics program at Tufts University is guided by an advisory board of professionals in the field, who help ensure the program provides rigorous courses in the analytical skills that are sought after across the arts, humanities, and sciences as well as within the business community.",1 year,"Medford, Massachusetts, United States",M.Sc. / Full-time / On Campus
Political Economy with Data Analytics,Tulane University,"15,127 EUR / year",The Master of Political Economy with Data Analytics at Tulane University is a two-year (four-semester) interdisciplinary program. The major goal of the program curriculum is to train public policy specialists using advanced technologies and data analytics.,2 years,"New Orleans, Louisiana, United States",M.A. / Full-time / On Campus
Big Data Engineer,Simplilearn,"1,605 EUR / full","Big Data Engineer from Simplilearn is a leading cognitive solution and cloud platform company, headquartered in Armonk, New York, offering a plethora of technology and consulting services. Each year, IBM invests $6 billion in research and development and has achieved five Nobel prizes. ",11 months,Online,M.Sc. / Part-time / Online
Data Analytics,The University of Tennessee at Chattanooga,"23,011 EUR / year","Data Analytics at The University of Tennessee at Chattanooga is a broad discipline with many applications and focuses on the collection, management, quality control and interpretation of large sets of data.",1 year,"Chattanooga, Tennessee, United States","Master / Full-time, Part-time / Online, On Campus"
Data Analytics and Cybersecurity,Indiana Tech,"5,923 EUR / year",Indiana Tech’s Data Analytics and Cybersecurity Graduate Certificate program brings together compelling coursework from the university’s College of Business and Talwar College of Engineering and Computer Sciences.,1 year,Online,Postgraduate Certificate / Part-time / Online
Data Analytics and Policy,Johns Hopkins University,"57,979 EUR / year",This cutting-edge Data Analytics and Policy program from Johns Hopkins University empowers students to tackle meaningful policy challenges using analytics. Students graduate with the expertise to be data-driven decisionmakers and policy leaders in both the public and private sector.,"1 year, 4 months",Online,"M.Sc. / Full-time, Part-time / Online"
Digital Retailing Advanced Data Analytics,University of North Texas,"29,091 EUR / year",Improving and personalizing the digital customer experience is important for nearly every business. Put yourself in high demand with a master’s degree in Digital Retailing Advanced Data Analytics from University of North Texas.,1 year,"Denton, Texas, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Media Innovation and Data Communication,Northeastern University,"41,940 EUR / year","The Media Innovation and Data Communication program at Northeastern University offers a distinctive approach to knowledge and innovation in media fields, an approach rooted in the rigor of professional journalism, but one keenly attuned to emerging, data-driven technologies and their potential.",1½ year,"Boston, Massachusetts, United States","M.Sc. / Full-time, Part-time / On Campus"
Program Evaluation and Data Analytics,Arizona State University,"26,655 EUR / year","The Program Evaluation and Data Analytics MSc is a professional degree from Arizona State University that emphasizes skills needed to leverage data to improve organizational performance in the public, nonprofit and private sectors.",1 year,"Phoenix, Arizona, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Analytics and Business Computing,New York University,"63,109 EUR / year",The Data Analytics and Business Computing MSc program from New York University seeks to prepare pre-experience students with a strong analytical background for careers in a fast-growing field of business analytics.,1 year,Multiple locations,M.Sc. / Full-time / On Campus
Data Analysis and Research Psychology (Online),Northwest University,"9,931 EUR / year",Data Analysis and Research Psychology (Online) from Northwest University provides advanced training in data inquiry and analysis procedures relevant to the social science and user experience fields.  ,2 years,Online,M.Sc. / Part-time / Online
Program Evaluation and Data Analytics,Arizona State University,"26,655 EUR / year","The Program Evaluation and Data Analytics MSc is a professional degree from Arizona State University that emphasizes skills needed to leverage data to improve organizational performance in the public, nonprofit and private sectors.",1 year,"Phoenix, Arizona, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Analytics Engineering,Northeastern University,"26,572 EUR / year","The Data Analytics Engineering program offers students an opportunity to train for industry jobs or to acquire rigorous analytical skills and research experience to prepare for a doctoral program in health, security, and sustainability at Northeastern University.",2 years,Multiple locations,"M.Sc. / Full-time, Part-time / On Campus"
Data Analysis and Research Psychology (Online),Northwest University,"9,931 EUR / year",Data Analysis and Research Psychology (Online) from Northwest University provides advanced training in data inquiry and analysis procedures relevant to the social science and user experience fields.  ,2 years,Online,M.Sc. / Part-time / Online
